"clube","atleta","tipo_de_gol"
"Sao Paulo","João Schmidt","Regular"
"Sao Paulo","Alan Kardec","Regular"
"Palmeiras","Eduardo Pereira Rodrigues","Regular"
"Palmeiras","Gabriel Jesus","Regular"
"Palmeiras","Gabriel Jesus","Regular"
"Palmeiras","Moisés Lima Magalhães","Regular"
"Ponte Preta","William Pottker","Regular"
"Ponte Preta","William Pottker","Regular"
"Ponte Preta","Felipe Azevedo","Regular"
"Atletico-MG","Juan Cazares","Regular"
"Botafogo-RJ","Gervásio Núñez","Regular"
"Atletico-MG","Robinho","Regular"
"Botafogo-RJ","Bruno César Pereira da Silva","Regular"
"Atletico-MG","Fred","Regular"
"Botafogo-RJ","Luiz Ricardo Alves","Penalti"
"Atletico-MG","Juan Cazares","Regular"
"Atletico-MG","Carlos Júnior","Regular"
"Athletico-PR","Nikão","Regular"
"Cruzeiro","Giorgian De Arrascaeta","Regular"
"Vitoria","Vander Luiz Silva Souza","Regular"
"Cruzeiro","Alisson Euler de Freitas Castro","Regular"
"Vitoria","Diego Renan","Penalti"
"Gremio","Douglas dos Santos","Regular"
"Corinthians","Ángel Romero","Regular"
"Corinthians","Guilherme Milhomem Gusmão","Regular"
"Corinthians","Rildo de Andrade Felicissimo","Regular"
"Corinthians","Ángel Romero","Regular"
"Santos","Jonathan Copete","Regular"
"Santos","Yuri Oliveira Lima","Regular"
"Santos","Rodrigão","Regular"
"Ponte Preta","Clayson Henrique da Silva Vieira","Regular"
"Botafogo-RJ","Neilton Mestzk","Regular"
"Santa Cruz","João Paulo","Regular"
"Botafogo-RJ","Luiz Ricardo Alves","Regular"
"Figueirense","Gustavo Ermel","Regular"
"Atletico-MG","Fred","Regular"
"Sport","Gabriel Xavier","Regular"
"Palmeiras","Cleiton Xavier","Penalti"
"Palmeiras","Erik Nascimento de Lima","Regular"
"Palmeiras","Gabriel Jesus","Regular"
"Corinthians","Marquinhos","Regular"
"Corinthians","Rodrigo Eduardo Costa Marinho","Regular"
"Ponte Preta","William Pottker","Regular"
"Ponte Preta","Douglas Grolli","Regular"
"Sport","José Rogério de Oliveira Melo","Regular"
"Gremio","Walace","Regular"
"Gremio","Deyvison Rogério da Silva","Regular"
"Figueirense","Ayrton Ganino","Regular"
"Flamengo","Felipe Vizeu","Regular"
"Flamengo","Felipe Vizeu","Regular"
"Sao Paulo","Lyanco","Regular"
"Sao Paulo","Alan Kardec","Regular"
"Sao Paulo","Alan Kardec","Regular"
"Santa Cruz","Keno","Regular"
"Athletico-PR","Pablo Felipe Teixeira","Regular"
"Athletico-PR","André Lima","Regular"
"Athletico-PR","André Lima","Regular"
"Palmeiras","Yerry Mina","Regular"
"Santos","Gabriel Barbosa","Regular"
"Botafogo-RJ","Juan Manuel Salgueiro","Regular"
"Flamengo","Éverton Cardoso da Silva","Regular"
"Botafogo-RJ","Diogo Barbosa","Regular"
"Flamengo","Jorge Marco de Oliveira Moraes","Regular"
"Botafogo-RJ","Neilton Mestzk","Regular"
"Flamengo","Paolo Guerrero","Regular"
"Santos","Victor Ferraz","Regular"
"Santos","Vitor Bueno","Regular"
"Santos","Gabriel Barbosa","Regular"
"Ponte Preta","Roger Rodrigues da Silva","Regular"
"Santa Cruz","Tiago da Costa Silva","Regular"
"Santa Cruz","Marcílio","Regular"
"Santa Cruz","Arthur Caike do Nascimento Cruz","Regular"
"Chapecoense","Dener Assunção Braz","Regular"
"Figueirense","Rafael Moura","Penalti"
"Fluminense","Cícero Santos","Regular"
"Fluminense","Marcos Júnior","Penalti"
"Sao Paulo","Christian Cueva","Penalti"
"Corinthians","Bruno Henrique Corsini","Regular"
"Palmeiras","Erik Nascimento de Lima","Regular"
"Athletico-PR","Pablo Felipe Teixeira","Regular"
"Vitoria","Diego Renan","Penalti"
"Sport","Sérgio Antônio Borges Júnior","Regular"
"Gremio","Pedro Geromel","Regular"
"Sport","Diego Souza","Regular"
"Sport","Diego Souza","Penalti"
"Sport","Edmilson dos Santos Silva","Regular"
"Gremio","Pedro Geromel","Regular"
"Atletico-MG","Robinho","Regular"
"Atletico-MG","Robinho","Regular"
"Coritiba","Carlos Emiliano Pereira","Regular"
"Corinthians","Danilo Gabriel de Andrade","Regular"
"Figueirense","Dodô","Regular"
"Coritiba","Kléber","Regular"
"Atletico-MG","Leandro Donizete","Regular"
"Ponte Preta","Roger Rodrigues da Silva","Regular"
"Ponte Preta","Wendel Geraldo Maurício e Silva","Regular"
"Internacional","Valdívia","Regular"
"Internacional","Ariel Nahuelpán","Regular"
"Chapecoense","Hyoran","Regular"
"Chapecoense","Lucas Gomes","Regular"
"Botafogo-RJ","Camilo","Regular"
"Gremio","Douglas dos Santos","Regular"
"Sport","José Rogério de Oliveira Melo","Regular"
"Cruzeiro","Willian Gomes de Siqueira","Regular"
"Sport","José Rogério de Oliveira Melo","Regular"
"Athletico-PR","Hernani Azevedo Junior","Regular"
"Vitoria","Antônio Eduardo Pereira dos Santos","Regular"
"Santos","Jean Mota Oliveira de Souza","Regular"
"Vitoria","Vander Luiz Silva Souza","Regular"
"Santos","Vitor Bueno","Regular"
"Santos","Jonathan Copete","Regular"
"Flamengo","Paolo Guerrero","Regular"
"America-MG","Juninho","Regular"
"Flamengo","Alan Patrick","Penalti"
"Figueirense","Dodô","Regular"
"Sport","Edmilson dos Santos Silva","Regular"
"Sport","Diego Souza","Penalti"
"Atletico-MG","Robinho","Regular"
"Atletico-MG","Fred","Regular"
"Atletico-MG","Luan Madson Gedeão de Paiva","Regular"
"Fluminense","Cícero Santos","Regular"
"Fluminense","Wellington Alves da Silva","Regular"
"Fluminense","Cícero Santos","Regular"
"Sao Paulo","Christian Cueva","Regular"
"Sao Paulo","Christian Cueva","Penalti"
"Chapecoense","Everton Kempes dos Santos Gonçalves","Regular"
"Chapecoense","Thiego","Regular"
"Flamengo","Paolo Guerrero","Regular"
"Flamengo","Marcelo Cirino da Silva","Regular"
"Corinthians","Elias Mendes Trindade","Regular"
"Santos","Vitor Bueno","Regular"
"Santos","Lucas Rios Marques","Contra"
"Palmeiras","Erik Nascimento de Lima","Regular"
"Botafogo-RJ","Camilo","Penalti"
"Botafogo-RJ","Neilton Mestzk","Regular"
"Botafogo-RJ","Neilton Mestzk","Regular"
"Vitoria","Mário Sérgio Santos Costa","Regular"
"Vitoria","Kieza","Regular"
"Vitoria","José Carlos Ferreira Júnior","Contra"
"Coritiba","Raphael Cavalcante Veiga","Regular"
"Sport","Mark González","Regular"
"America-MG","Danilo Barcelos","Regular"
"Athletico-PR","Walter Henrique da Silva","Regular"
"Athletico-PR","Walter Henrique da Silva","Regular"
"Ponte Preta","William Pottker","Regular"
"Ponte Preta","Reinaldo Manoel da Silva","Regular"
"Atletico-MG","Lucas Pratto","Regular"
"Sao Paulo","Andrés Chávez","Regular"
"Atletico-MG","Maicosuel","Regular"
"Cruzeiro","Ramón Ábila","Regular"
"Cruzeiro","Rafael Sóbis","Regular"
"Internacional","Luis Manuel Seijas","Regular"
"Cruzeiro","Rafael Sóbis","Regular"
"Internacional","Alex Raphael Meschini","Penalti"
"Cruzeiro","Rafael Sóbis","Regular"
"Chapecoense","Everton Kempes dos Santos Gonçalves","Regular"
"Palmeiras","Jean Raphael Vanderlei Moreira","Penalti"
"Flamengo","Federico Mancuello","Regular"
"America-MG","Juninho","Regular"
"Vitoria","Thiago Martins Bueno","Contra"
"Palmeiras","Lucas Barrios","Regular"
"Palmeiras","Cleiton Xavier","Regular"
"Ponte Preta","Rhayner","Regular"
"Coritiba","Juan Maldonado Jaimez Júnior","Penalti"
"Coritiba","Kléber","Regular"
"Coritiba","Luccas Claro","Regular"
"Sao Paulo","Andrés Chávez","Regular"
"Sao Paulo","Andrés Chávez","Regular"
"Santa Cruz","Keno","Regular"
"Fluminense","Gustavo Scarpa","Regular"
"Fluminense","Gustavo Scarpa","Regular"
"Internacional","Luis Manuel Seijas","Regular"
"Internacional","Fernando Paixão da Silva","Regular"
"Sport","Túlio de Melo","Penalti"
"Figueirense","Carlos Alberto Gomes de Jesus","Regular"
"Atletico-MG","Robinho","Regular"
"Atletico-MG","Maicosuel","Regular"
"Chapecoense","Bruno Rangel","Regular"
"Atletico-MG","Carlos César Neves","Regular"
"Cruzeiro","Ramón Ábila","Regular"
"Corinthians","Giovanni Augusto","Regular"
"Sport","Edmilson dos Santos Silva","Regular"
"Ponte Preta","Wendel Geraldo Maurício e Silva","Regular"
"Ponte Preta","Roger Rodrigues da Silva","Regular"
"Fluminense","Henrique Dourado","Regular"
"Gremio","Pedro Rocha Neves","Regular"
"Gremio","Everton Sousa Soares","Regular"
"Gremio","Miller Bolaños","Regular"
"Santa Cruz","Tiago da Costa Silva","Regular"
"Santa Cruz","Matías Pisano","Regular"
"Vitoria","Diego Renan","Regular"
"Vitoria","Willian Farias","Regular"
"Cruzeiro","Ramón Ábila","Regular"
"Coritiba","Colin Kâzım-Richards","Regular"
"Coritiba","Juan Maldonado Jaimez Júnior","Regular"
"Cruzeiro","Rafael da Silva Francisco","Regular"
"Santos","Ricardo Oliveira","Regular"
"Santos","Ricardo Oliveira","Regular"
"Santos","Gustavo Henrique Vernes","Regular"
"Botafogo-RJ","Luiz Ricardo Alves","Regular"
"Palmeiras","Vitor Hugo Franchescoli de Souza","Regular"
"Chapecoense","Alejandro Martinuccio","Regular"
"Chapecoense","Alison Wágner Lira Ferreira","Contra"
"Chapecoense","Lucas Gomes","Regular"
"America-MG","Gilson Gomes do Nascimento","Penalti"
"Botafogo-RJ","Camilo","Regular"
"Botafogo-RJ","Luiz Ricardo Alves","Regular"
"Botafogo-RJ","Luiz Ricardo Alves","Regular"
"Atletico-MG","Robinho","Penalti"
"Flamengo","Diego Ribas","Regular"
"Gremio","Henrique Almeida","Regular"
"Flamengo","Leandro Damião","Penalti"
"Palmeiras","Rafael Marques Mariano","Regular"
"Palmeiras","Thiago Martins Bueno","Regular"
"Ponte Preta","Wellington Paulista","Regular"
"Ponte Preta","William Pottker","Regular"
"Fluminense","Henrique Dourado","Regular"
"Sao Paulo","Christian Cueva","Penalti"
"Internacional","Eugenio Mena","Contra"
"Coritiba","Kléber","Regular"
"Coritiba","Iago Dias","Regular"
"Santos","Ricardo Oliveira","Regular"
"Cruzeiro","Henrique Pacheco Lima","Regular"
"Cruzeiro","Ramón Ábila","Regular"
"Figueirense","Wéverton Almeida Santos","Regular"
"Corinthians","Jonathan Marlone","Regular"
"Vitoria","Yago Fernando da Silva","Contra"
"Corinthians","Marquinhos","Regular"
"Ponte Preta","Roger Rodrigues da Silva","Regular"
"Ponte Preta","Clayson Henrique da Silva Vieira","Regular"
"Figueirense","Rafael Moura","Penalti"
"Cruzeiro","Róbson Michael Signorini","Regular"
"Cruzeiro","Ramón Ábila","Regular"
"Gremio","Luan Guilherme de Jesus Vieira","Regular"
"Atletico-MG","Robinho","Regular"
"Palmeiras","Eduardo Pereira Rodrigues","Regular"
"Palmeiras","Jean Raphael Vanderlei Moreira","Regular"
"Chapecoense","Everton Kempes dos Santos Gonçalves","Regular"
"Flamengo","Diego Ribas","Regular"
"Flamengo","Federico Mancuello","Regular"
"Flamengo","Leandro Damião","Penalti"
"Internacional","Luis Manuel Seijas","Penalti"
"Sport","Vinícius Vasconcelos Araújo","Regular"
"Vitoria","Marcelo Machado dos Santos","Regular"
"Vitoria","David Corrêa da Fonseca","Regular"
"America-MG","Danilo Barcelos","Regular"
"Athletico-PR","Hernani Azevedo Junior","Regular"
"Fluminense","Renato de Araújo Chaves Júnior","Regular"
"Fluminense","Magno Alves","Regular"
"Figueirense","Carlos Alberto Gomes de Jesus","Regular"
"Fluminense","Gustavo Scarpa","Regular"
"Figueirense","Nirley da Silva Fonseca","Regular"
"Botafogo-RJ","Camilo","Regular"
"Botafogo-RJ","Luiz Ricardo Alves","Regular"
"Gremio","Matheus dos Santos Batista","Regular"
"Santa Cruz","Arthur Caike do Nascimento Cruz","Regular"
"Santa Cruz","Bruno Eduardo Moraes","Regular"
"Chapecoense","Bruno Rangel","Penalti"
"Chapecoense","Everton Kempes dos Santos Gonçalves","Regular"
"Botafogo-RJ","Neilton Mestzk","Regular"
"Figueirense","Lins Lima de Brito","Regular"
"Atletico-MG","Fred","Regular"
"Atletico-MG","Fred","Regular"
"Vitoria","Antônio Eduardo Pereira dos Santos","Regular"
"Palmeiras","Yerry Mina","Regular"
"Palmeiras","Vitor Hugo Franchescoli de Souza","Regular"
"Sao Paulo","Andrés Chávez","Regular"
"Coritiba","Raphael Cavalcante Veiga","Regular"
"Coritiba","Neto Berola","Regular"
"Coritiba","Walisson","Regular"
"Coritiba","Leandro","Regular"
"Flamengo","Luiz Fernando Pereira da Silva","Regular"
"Ponte Preta","William Pottker","Regular"
"Flamengo","Gabriel Santana","Regular"
"Corinthians","Vilson Xavier de Menezes Júnior","Regular"
"Corinthians","Rodrigo Eduardo Costa Marinho","Regular"
"Corinthians","Léo Príncipe","Regular"
"Cruzeiro","Giorgian De Arrascaeta","Regular"
"Cruzeiro","Ramón Ábila","Regular"
"Internacional","Aylon","Regular"
"Santos","Ricardo Oliveira","Regular"
"Internacional","Luis Manuel Seijas","Regular"
"Flamengo","Gabriel Santana","Regular"
"Vitoria","Zé Love","Regular"
"Flamengo","Luiz Fernando Pereira da Silva","Regular"
"Sao Paulo","Kelvin Mateus de Oliveira","Regular"
"Sao Paulo","Andrés Chávez","Regular"
"Figueirense","Carlos Alberto Gomes de Jesus","Penalti"
"Sao Paulo","Christian Cueva","Regular"
"Chapecoense","Everton Kempes dos Santos Gonçalves","Regular"
"Botafogo-RJ","Gustavo Canales","Regular"
"Botafogo-RJ","Camilo","Regular"
"Athletico-PR","Pablo Felipe Teixeira","Regular"
"Internacional","Valdívia","Regular"
"Athletico-PR","Pablo Felipe Teixeira","Regular"
"Sport","Rodney Wallace","Regular"
"Santa Cruz","Keno","Regular"
"Sport","Luis Carlos Ruiz","Regular"
"Santa Cruz","João Paulo","Regular"
"Sport","Vinícius Vasconcelos Araújo","Regular"
"Santa Cruz","Bruno Eduardo Moraes","Regular"
"Sport","Durval","Regular"
"Sport","Everton Felipe","Regular"
"Santos","Renato Dirnei Florêncio","Regular"
"Corinthians","Jonathan Marlone","Regular"
"Santos","Vitor Bueno","Penalti"
"Ponte Preta","William Pottker","Regular"
"America-MG","Jonas Jessué da Silva Júnior","Regular"
"Fluminense","Gustavo Scarpa","Regular"
"Fluminense","Francinilson Santos Meirelles","Regular"
"Fluminense","Douglas Augusto Soares Gomes","Regular"
"Atletico-MG","Robinho","Regular"
"Fluminense","Marquinho","Regular"
"Atletico-MG","Rómulo Otero","Regular"
"Santos","José Carlos Cracco Neto","Regular"
"Figueirense","Dodô","Penalti"
"Figueirense","Lins Lima de Brito","Regular"
"America-MG","Jonas Jessué da Silva Júnior","Regular"
"America-MG","Osman","Regular"
"Santa Cruz","Bruno Eduardo Moraes","Regular"
"Ponte Preta","Fábio Ferreira","Regular"
"Ponte Preta","Roger Rodrigues da Silva","Regular"
"Ponte Preta","William Pottker","Penalti"
"Coritiba","Leandro","Penalti"
"Corinthians","Jonathan Marlone","Regular"
"Palmeiras","Gabriel Jesus","Regular"
"Flamengo","Alan Patrick","Regular"
"Chapecoense","Dener Assunção Braz","Regular"
"Chapecoense","Lourency do Nascimento Rodrigues","Regular"
"Fluminense","Cícero Santos","Regular"
"Atletico-MG","Júnior Urso","Regular"
"Vitoria","Antônio Eduardo Pereira dos Santos","Regular"
"Sao Paulo","Wesley Lopes Beltrame","Regular"
"Palmeiras","Moisés Lima Magalhães","Regular"
"Palmeiras","Yerry Mina","Regular"
"Flamengo","Willian Arão","Regular"
"Flamengo","Diego Ribas","Penalti"
"Atletico-MG","Clayton da Silveira da Silva","Regular"
"Cruzeiro","Róbson Michael Signorini","Regular"
"Fluminense","Gustavo Scarpa","Regular"
"Athletico-PR","Pablo Felipe Teixeira","Regular"
"Coritiba","Willian José de Souza","Regular"
"Chapecoense","Tiaguinho","Regular"
"Ponte Preta","Fábio Ferreira","Regular"
"Ponte Preta","Roger Rodrigues da Silva","Regular"
"Chapecoense","Tiaguinho","Regular"
"Santos","Jonathan Copete","Regular"
"Santa Cruz","Keno","Regular"
"Santos","Jean Mota Oliveira de Souza","Regular"
"Santos","Vitor Bueno","Regular"
"Santa Cruz","Keno","Regular"
"Botafogo-RJ","Rodrigo Pimpão","Regular"
"America-MG","Michael Vinicius Silva de Morais","Regular"
"Palmeiras","Yerry Mina","Regular"
"Coritiba","Iago Dias","Regular"
"Palmeiras","Leandro","Regular"
"Sport","José Rogério de Oliveira Melo","Regular"
"America-MG","Jonas Jessué da Silva Júnior","Regular"
"Athletico-PR","Thiago Heleno","Regular"
"Athletico-PR","Thiago Heleno","Penalti"
"Athletico-PR","Leonardo Moreira Morais","Regular"
"Figueirense","Danny Morais","Contra"
"Santa Cruz","Keno","Regular"
"Figueirense","Ayrton Ganino","Regular"
"Figueirense","Lins Lima de Brito","Regular"
"Vitoria","Lyanco","Contra"
"Vitoria","Mário Sérgio Santos Costa","Regular"
"Fluminense","Cícero Santos","Regular"
"Gremio","Pedro Rocha Neves","Regular"
"Flamengo","Federico Mancuello","Regular"
"Cruzeiro","Rafael da Silva Francisco","Regular"
"Flamengo","Paolo Guerrero","Regular"
"Atletico-MG","Clayton da Silveira da Silva","Regular"
"Atletico-MG","Lucas Pratto","Regular"
"Internacional","Gustavo Ferrareis","Regular"
"Atletico-MG","Fred","Regular"
"Fluminense","Richarlison","Regular"
"Fluminense","Gustavo Scarpa","Regular"
"Sport","Gum","Contra"
"Fluminense","Marcos Júnior","Regular"
"Vitoria","Zé Love","Regular"
"Vitoria","Marcelo Machado dos Santos","Regular"
"Chapecoense","Tiaguinho","Regular"
"Vitoria","Kieza","Regular"
"Vitoria","Zé Love","Regular"
"Santos","Ricardo Oliveira","Penalti"
"Santos","Paulinho","Regular"
"Botafogo-RJ","Neilton Mestzk","Regular"
"Botafogo-RJ","Diogo Barbosa","Regular"
"Atletico-MG","Clayton da Silveira da Silva","Regular"
"Ponte Preta","Roger Rodrigues da Silva","Regular"
"Atletico-MG","Júnior Urso","Regular"
"Cruzeiro","Henrique Pacheco Lima","Regular"
"Internacional","Victor Vinícius Coelho Santos","Regular"
"Palmeiras","Zé Roberto","Regular"
"Palmeiras","Leandro","Regular"
"Palmeiras","Róger Guedes","Regular"
"Santa Cruz","Grafite","Penalti"
"Santa Cruz","Arthur Caike do Nascimento Cruz","Regular"
"Coritiba","Juan Maldonado Jaimez Júnior","Regular"
"Coritiba","Juan Maldonado Jaimez Júnior","Regular"
"Coritiba","Colin Kâzım-Richards","Regular"
"Gremio","Jailson Marques Siqueira","Regular"
"Chapecoense","Filipe Machado","Regular"
"Athletico-PR","Pablo Felipe Teixeira","Regular"
"Athletico-PR","Matheus Rossetto","Regular"
"Athletico-PR","Hernani Azevedo Junior","Penalti"
"Fluminense","Wellington do Nascimento Silva","Regular"
"Santos","Jonathan Copete","Regular"
"Santos","Ricardo Oliveira","Regular"
"Sport","Diego Souza","Regular"
"Sao Paulo","Thiago Henrique Mendes Ribeiro","Regular"
"Internacional","Victor Vinícius Coelho Santos","Penalti"
"Cruzeiro","Róbson Michael Signorini","Regular"
"Cruzeiro","Ramón Ábila","Regular"
"Flamengo","Felipe Vizeu","Regular"
"Flamengo","Willian Arão","Regular"
"Flamengo","Marcelo Cirino da Silva","Regular"
"Palmeiras","Danilo Neves","Regular"
"Palmeiras","Alecsandro","Regular"
"Botafogo-RJ","Bruno César Pereira da Silva","Regular"
"Chapecoense","Ananias Elói Castro Monteiro","Regular"
"Chapecoense","Everton Kempes dos Santos Gonçalves","Regular"
"Chapecoense","Thiego","Regular"
"Corinthians","Guilherme Milhomem Gusmão","Regular"
"Corinthians","Guilherme Milhomem Gusmão","Regular"
"Santa Cruz","Grafite","Regular"
"Corinthians","Jonathan Marlone","Regular"
"Santa Cruz","Keno","Regular"
"Corinthians","Lucca Borges de Brito","Regular"
"Botafogo-RJ","Luiz Ricardo Alves","Penalti"
"Ponte Preta","Rhayner","Regular"
"Ponte Preta","Wendel Geraldo Maurício e Silva","Regular"
"Atletico-MG","Lucas Pratto","Regular"
"Atletico-MG","Fred","Regular"
"Atletico-MG","Carlos César Neves","Regular"
"Gremio","Pedro Rocha Neves","Regular"
"Fluminense","Marcos Júnior","Regular"
"Flamengo","Luiz Fernando Pereira da Silva","Regular"
"Flamengo","William Matheus","Contra"
"Santos","Jonathan Copete","Regular"
"Atletico-MG","Fred","Regular"
"Botafogo-RJ","Bruno César Pereira da Silva","Regular"
"Atletico-MG","Leonardo Silva","Regular"
"Botafogo-RJ","Rodrigo Pimpão","Regular"
"Botafogo-RJ","Dudu Cearense","Regular"
"Athletico-PR","Matheus Rossetto","Regular"
"Athletico-PR","Pablo Felipe Teixeira","Regular"
"Internacional","Eduardo Sasha","Regular"
"Internacional","Victor Vinícius Coelho Santos","Regular"
"Flamengo","Réver","Regular"
"Palmeiras","Jean Raphael Vanderlei Moreira","Regular"
"Palmeiras","Jean Raphael Vanderlei Moreira","Penalti"
"Figueirense","Rafael Silva dos Santos","Regular"
"Corinthians","Ángel Romero","Regular"
"Corinthians","Rodrigo Eduardo Costa Marinho","Regular"
"Ponte Preta","Maycon de Andrade Barberan","Regular"
"Ponte Preta","William Pottker","Regular"
"Ponte Preta","Roger Rodrigues da Silva","Regular"
"Sport","Diego Souza","Regular"
"Santos","Fabián Noguera","Regular"
"Gremio","Everton Sousa Soares","Regular"
"Sao Paulo","Thiago Henrique Mendes Ribeiro","Regular"
"Sao Paulo","Rodrigo Caio","Regular"
"Fluminense","Wellington Alves da Silva","Penalti"
"Botafogo-RJ","Rodrigo Pimpão","Regular"
"Sao Paulo","David Neres Campos","Regular"
"Sao Paulo","Christian Cueva","Penalti"
"Corinthians","Rodrigo Eduardo Costa Marinho","Regular"
"Flamengo","Paolo Guerrero","Regular"
"Flamengo","Paolo Guerrero","Regular"
"Corinthians","Guilherme Milhomem Gusmão","Regular"
"Cruzeiro","Ariel Cabral","Regular"
"Sport","José Rogério de Oliveira Melo","Regular"
"Palmeiras","Eduardo Pereira Rodrigues","Regular"
"Palmeiras","Danilo Neves","Regular"
"Coritiba","Leandro","Regular"
"Fluminense","Gum","Regular"
"Atletico-MG","Júnior Urso","Regular"
"Atletico-MG","Fred","Regular"
"Atletico-MG","Rómulo Otero","Regular"
"Santos","Lucas Rafael Araújo Lima","Regular"
"America-MG","Éder Lima dos Santos","Regular"
"Sport","José Rogério de Oliveira Melo","Regular"
"Fluminense","Cícero Santos","Regular"
"Fluminense","Richarlison","Penalti"
"Vitoria","Marcelo Machado dos Santos","Regular"
"Vitoria","Mário Sérgio Santos Costa","Regular"
"Atletico-MG","Lucas Pratto","Regular"
"Flamengo","Diego Ribas","Regular"
"Flamengo","Paolo Guerrero","Regular"
"Atletico-MG","Robinho","Penalti"
"Chapecoense","Bruno Rangel","Penalti"
"Corinthians","Giovanni Augusto","Penalti"
"Athletico-PR","Manoel Messias Silva Carvalho","Contra"
"Santa Cruz","Léo Moura","Regular"
"Internacional","Victor Vinícius Coelho Santos","Regular"
"Santos","Jonathan Copete","Regular"
"America-MG","Michael Vinicius Silva de Morais","Regular"
"Sao Paulo","Andrés Chávez","Regular"
"Sao Paulo","Luiz Araújo","Regular"
"Sao Paulo","Christian Cueva","Penalti"
"Sao Paulo","David Neres Campos","Regular"
"Santos","Ricardo Oliveira","Regular"
"Ponte Preta","William Pottker","Penalti"
"Santos","Jonathan Copete","Regular"
"Santa Cruz","Léo Moura","Regular"
"Palmeiras","Cleiton Xavier","Regular"
"Vitoria","Mário Sérgio Santos Costa","Regular"
"Vitoria","David Corrêa da Fonseca","Regular"
"Athletico-PR","Pablo Felipe Teixeira","Regular"
"Vitoria","Mário Sérgio Santos Costa","Regular"
"Athletico-PR","Pablo Felipe Teixeira","Regular"
"Cruzeiro","Alisson Euler de Freitas Castro","Regular"
"Fluminense","Ramón Ábila","Contra"
"Cruzeiro","Rafael Sóbis","Regular"
"Fluminense","Richarlison","Regular"
"Cruzeiro","Willian Gomes de Siqueira","Regular"
"Cruzeiro","Giorgian De Arrascaeta","Regular"
"Coritiba","Raphael Cavalcante Veiga","Regular"
"Coritiba","Kléber","Penalti"
"Chapecoense","Everton Kempes dos Santos Gonçalves","Regular"
"Sport","José Rogério de Oliveira Melo","Regular"
"Sport","Diego Souza","Regular"
"Sport","Diego Souza","Regular"
"Athletico-PR","Hernani Azevedo Junior","Penalti"
"Fluminense","Cícero Santos","Regular"
"Chapecoense","Everton Kempes dos Santos Gonçalves","Regular"
"Chapecoense","Sérgio Manoel Barbosa Santos","Regular"
"Coritiba","Leandro","Regular"
"Cruzeiro","Henrique Pacheco Lima","Regular"
"Flamengo","Éverton Cardoso da Silva","Regular"
"Corinthians","Guilherme Camacho","Regular"
"Figueirense","Rafael Moura","Regular"
"Santos","Jonathan Copete","Regular"
"Santos","Ricardo Oliveira","Penalti"
"Santos","Jonathan Copete","Regular"
"Vitoria","Mário Sérgio Santos Costa","Penalti"
"Vitoria","Serginho","Regular"
"Sao Paulo","Andrés Chávez","Regular"
"Gremio","Ramiro Moschen Benetti","Regular"
"Internacional","Valdívia","Regular"
"Ponte Preta","Antonio Carlos Capocasali","Regular"
"Atletico-MG","Lucas Pratto","Regular"
"Palmeiras","Gabriel Jesus","Regular"
"Vitoria","Kieza","Regular"
"Vitoria","Mário Sérgio Santos Costa","Regular"
"Vitoria","Willian Farias","Regular"
"Vitoria","Zé Love","Regular"
"Santos","Ricardo Oliveira","Regular"
"Cruzeiro","Giorgian De Arrascaeta","Regular"
"Cruzeiro","Manoel Messias Silva Carvalho","Regular"
"Santos","Ricardo Oliveira","Penalti"
"Palmeiras","Eduardo Pereira Rodrigues","Regular"
"Gremio","Negueba","Regular"
"Gremio","Miller Bolaños","Regular"
"Gremio","Fred","Regular"
"Ponte Preta","Wendel Geraldo Maurício e Silva","Regular"
"Athletico-PR","Thiago Heleno","Penalti"
"Athletico-PR","André Lima","Regular"
"Flamengo","Diego Ribas","Regular"
"Coritiba","Willian José de Souza","Regular"
"Coritiba","Kléber","Regular"
"Flamengo","Gabriel Santana","Regular"
"Chapecoense","Tiaguinho","Regular"
"Chapecoense","Dener Assunção Braz","Regular"
"Atletico-MG","Clayton da Silveira da Silva","Regular"
"Santa Cruz","Keno","Regular"
"Atletico-MG","Hyuri","Regular"
"Santa Cruz","Grafite","Penalti"
"Santa Cruz","Cícero Vítor dos Santos Júnior","Regular"
"Atletico-MG","Fred","Regular"
"Corinthians","Jonathan Marlone","Penalti"
"Botafogo-RJ","Luiz Ricardo Alves","Regular"
"Ponte Preta","William Pottker","Regular"
"Sport","Rodney Wallace","Regular"
"Sport","Ronaldo Alves","Regular"
"America-MG","Danilo Barcelos","Regular"
"America-MG","Michael Vinicius Silva de Morais","Regular"
"Internacional","Valdívia","Regular"
"Atletico-MG","Hyuri","Regular"
"Sao Paulo","Maicon Pereira Roque","Regular"
"Sao Paulo","Gilberto Oliveira Souza Junior","Regular"
"Flamengo","Paolo Guerrero","Regular"
"Flamengo","Diego Ribas","Regular"
"Palmeiras","Fabiano","Regular"
"Santa Cruz","Grafite","Regular"
"Santa Cruz","Arthur Caike do Nascimento Cruz","Regular"
"Santa Cruz","Grafite","Regular"
"Gremio","Miller Bolaños","Regular"
"Santa Cruz","Léo Moura","Regular"
"Santa Cruz","Roberto Heuchayer","Regular"
"Figueirense","Marcos Roberto da Silva Barbosa","Regular"
"Vitoria","Mário Sérgio Santos Costa","Regular"
"Cruzeiro","Giorgian De Arrascaeta","Regular"
"Corinthians","Jonathan Marlone","Regular"
"Cruzeiro","Ezequiel","Regular"
"Cruzeiro","Róbson Michael Signorini","Regular"
