"clube","cartao","atleta"
"Corinthians","Amarelo","Romarinho"
"Atletico-MG","Amarelo","Victor"
"Goias","Amarelo","Tiago Real"
"Atletico-MG","Amarelo","Claudinei Junio de Souza"
"Palmeiras","Amarelo","Jorge Valdivia"
"Palmeiras","Amarelo","Wesley Lopes Beltrame"
"Goias","Amarelo","Jackson de Souza"
"Goias","Amarelo","Alex Alves Cardoso"
"Palmeiras","Amarelo","Henrique Dourado"
"Palmeiras","Amarelo","Fábio Szymonek"
"Palmeiras","Amarelo","Lucimar da Silva Ferreira"
"Goias","Amarelo","Edson Pereira Lisboa"
"Goias","Amarelo","Willian José de Souza"
"Internacional","Amarelo","Willians Domingos Fernandes"
"Athletico-PR","Amarelo","Deivid Willian da Silva"
"Internacional","Amarelo","Charles Aránguiz"
"Internacional","Amarelo","Alex Raphael Meschini"
"Botafogo-RJ","Amarelo","Matheus Dória Macedo"
"Criciuma","Amarelo","Bruno Lopes"
"Criciuma","Amarelo","Fábio Ferreira"
"Criciuma","Amarelo","Rodrigo Souza"
"Criciuma","Amarelo","Carlos Eduardo Santos Oliveira"
"Criciuma","Amarelo","Sérgio Antônio Borges Júnior"
"Cruzeiro","Vermelho","Marcelo Moreno"
"Atletico-MG","Amarelo","Alex da Silva"
"Atletico-MG","Amarelo","Leonardo Silva"
"Atletico-MG","Amarelo","André Felipe Ribeiro de Souza"
"Cruzeiro","Amarelo","Jonathan Marlone"
"Cruzeiro","Vermelho","Luan Michel Louzã"
"Atletico-MG","Amarelo","Leandro Donizete"
"Atletico-MG","Amarelo","Victor"
"Cruzeiro","Amarelo","Leonardo Renan Simões de Lacerda"
"Chapecoense","Amarelo","Rafael Lima"
"Gremio","Amarelo","Luan Guilherme de Jesus Vieira"
"Gremio","Amarelo","Edinho"
"Chapecoense","Amarelo","André Luiz Paulino de Souza Motta"
"Gremio","Amarelo","Hernán Barcos"
"Gremio","Amarelo","Eduardo Pereira Rodrigues"
"Fluminense","Amarelo","Francisco Souza dos Santos"
"Flamengo","Amarelo","Lucas Mugni"
"Flamengo","Amarelo","Paulinho"
"Fluminense","Amarelo","Carlos Andrade Souza"
"Flamengo","Amarelo","André Santos"
"Flamengo","Amarelo","Víctor Cáceres"
"Sao Paulo","Amarelo","Luis Ricardo"
"Corinthians","Amarelo","Luciano da Rocha Neves"
"Sao Paulo","Amarelo","Maicon"
"Sao Paulo","Amarelo","Álvaro Pereira"
"Corinthians","Amarelo","Petros"
"Figueirense","Vermelho","Raúl Silva"
"Figueirense","Amarelo","Luan José Niedzielski"
"Santos","Amarelo","Neuciano Gusmão"
"Santos","Vermelho","Neuciano Gusmão"
"Figueirense","Amarelo","Rogisvaldo João dos Santos"
"Coritiba","Amarelo","Luis Francisco Grando"
"Sport","Amarelo","Leonardo Gonçalves Silva"
"Coritiba","Amarelo","Leandro Almeida"
"Coritiba","Amarelo","Carlos Emiliano Pereira"
"Bahia","Vermelho","Uelliton da Silva Vieira"
"Bahia","Amarelo","Roniery"
"Vitoria","Amarelo","Souza"
"Vitoria","Amarelo","José Welison"
"Vitoria","Vermelho","Souza"
"Bahia","Amarelo","Pará"
"Bahia","Amarelo","Demerson Bruno Costa"
"Vitoria","Amarelo","Neto Coruja"
"Goias","Amarelo","Willian José de Souza"
"Goias","Amarelo","Esquerdinha"
"Goias","Amarelo","Alex Alves Cardoso"
"Cruzeiro","Amarelo","Éverton Ribeiro"
"Coritiba","Amarelo","Luccas Claro"
"Cruzeiro","Amarelo","Dagoberto Pelentier"
"Sao Paulo","Amarelo","Maicon"
"Flamengo","Amarelo","Léo Moura"
"Fluminense","Vermelho","Fred"
"Gremio","Amarelo","Alan Ruiz"
"Fluminense","Amarelo","Elivélton"
"Gremio","Amarelo","Marcos Rogério Ricci Lopes"
"Gremio","Amarelo","Ramiro Moschen Benetti"
"Fluminense","Amarelo","Fred"
"Corinthians","Amarelo","Cleber Reis"
"Corinthians","Amarelo","Jadson"
"Figueirense","Amarelo","Ricardo Bueno"
"Figueirense","Amarelo","Leandro Silva"
"Corinthians","Amarelo","Romarinho"
"Corinthians","Amarelo","Guilherme dos Santos Torres"
"Figueirense","Amarelo","Éverton Santos"
"Athletico-PR","Amarelo","Marcos Guilherme"
"Chapecoense","Amarelo","Bruno César Pereira da Silva"
"Athletico-PR","Amarelo","Marcelo Cirino da Silva"
"Chapecoense","Amarelo","Fabiano"
"Criciuma","Amarelo","Carlos Eduardo Santos Oliveira"
"Internacional","Amarelo","Rafael Moura"
"Criciuma","Vermelho","Carlos Eduardo Santos Oliveira"
"Criciuma","Amarelo","Rodrigo Souza"
"Internacional","Amarelo","Juan Silveira dos Santos"
"Internacional","Amarelo","Willians Domingos Fernandes"
"Santos","Amarelo","Thiago Ribeiro"
"Santos","Amarelo","David Braz"
"Atletico-MG","Amarelo","Victor"
"Santos","Amarelo","Hélio Hermito Zampier Neto"
"Atletico-MG","Amarelo","Leonardo Silva"
"Atletico-MG","Amarelo","Emerson da Conceição"
"Flamengo","Amarelo","Elano"
"Bahia","Amarelo","Cristian Chagas Tarouco"
"Flamengo","Amarelo","Éverton Cardoso da Silva"
"Flamengo","Amarelo","Alecsandro"
"Coritiba","Amarelo","Andrés Fernandes Gonçalves"
"Coritiba","Amarelo","Alexsandro de Souza"
"Internacional","Amarelo","Dida"
"Internacional","Amarelo","Marcos Antônio de Lima"
"Internacional","Amarelo","Wellington Aparecido Martins"
"Coritiba","Amarelo","Roni"
"Internacional","Amarelo","Wellington Paulista"
"Internacional","Amarelo","Otávio"
"Internacional","Amarelo","Valdívia"
"Criciuma","Amarelo","João Vitor Lima Gomes"
"Fluminense","Amarelo","Darío Conca"
"Sao Paulo","Amarelo","Alexandre Pato"
"Sao Paulo","Amarelo","Luís Fabiano"
"Sao Paulo","Amarelo","Reinaldo Manoel da Silva"
"Sao Paulo","Amarelo","Paulo Miranda"
"Gremio","Amarelo","Hernán Barcos"
"Botafogo-RJ","Amarelo","Carlos Alberto Gomes de Jesus"
"Gremio","Amarelo","Alan Ruiz"
"Botafogo-RJ","Amarelo","Emerson Sheik"
"Botafogo-RJ","Amarelo","Gabriel Girotto Franco"
"Corinthians","Amarelo","Jadson"
"Athletico-PR","Amarelo","Cleberson Martins de Souza"
"Athletico-PR","Amarelo","Marcos Guilherme"
"Athletico-PR","Amarelo","Otávio Henrique Santos"
"Athletico-PR","Amarelo","Sueliton Pereira"
"Athletico-PR","Amarelo","Natanael Batista Pimenta"
"Goias","Amarelo","Thiago Henrique Mendes Ribeiro"
"Santos","Amarelo","Gabriel Barbosa"
"Goias","Amarelo","David França Oliveira e Silva"
"Goias","Amarelo","Esquerdinha"
"Santos","Amarelo","David Braz"
"Palmeiras","Amarelo","William Matheus"
"Figueirense","Amarelo","Marcos Roberto da Silva Barbosa"
"Figueirense","Amarelo","Luan José Niedzielski"
"Palmeiras","Amarelo","Wendel Santana Pereira Santos"
"Figueirense","Amarelo","Thiago Heleno"
"Vitoria","Amarelo","Rafael Berger"
"Atletico-MG","Amarelo","Lucas Pierre Santos Oliveira"
"Vitoria","Amarelo","Ayrton Ganino"
"Atletico-MG","Amarelo","Marion Silva Fernandes"
"Bahia","Amarelo","Wellington Clayton Gonçalves dos Santos"
"Sao Paulo","Amarelo","Douglas Pereira dos Santos"
"Sao Paulo","Amarelo","Josef de Souza Dias"
"Gremio","Amarelo","Ramiro Moschen Benetti"
"Sao Paulo","Amarelo","Maicon"
"Sao Paulo","Amarelo","Paulo Henrique Ganso"
"Gremio","Amarelo","Breno"
"Sport","Vermelho","Durval"
"Sport","Amarelo","Durval"
"Corinthians","Amarelo","Bruno Henrique Corsini"
"Sport","Vermelho","Neto Baiano"
"Sport","Amarelo","Patric Cabral Lalau"
"Sport","Amarelo","Rodrigo Mancha"
"Athletico-PR","Amarelo","Otávio Henrique Santos"
"Coritiba","Amarelo","Carlos Emiliano Pereira"
"Coritiba","Amarelo","Keirrison"
"Coritiba","Amarelo","Júlio César da Silva e Souza"
"Athletico-PR","Amarelo","Weverton Pereira da Silva"
"Athletico-PR","Amarelo","Cleberson Martins de Souza"
"Coritiba","Amarelo","Hermenegildo da Costa Paulo Bartolomeu"
"Coritiba","Amarelo","Welinton"
"Figueirense","Amarelo","Marcos Roberto da Silva Barbosa"
"Goias","Amarelo","Thiago Henrique Mendes Ribeiro"
"Goias","Amarelo","Alex Alves Cardoso"
"Santos","Vermelho","Geuvânio"
"Santos","Amarelo","Jubal Rocha Mendes Júnior"
