"clube","cartao","atleta"
"Fluminense","Amarelo","José Renato da Silva Júnior"
"Corinthians","Amarelo","Jadson"
"Fluminense","Amarelo","Gum"
"Corinthians","Amarelo","Petros"
"Avai","Amarelo","Roberto César Zardin Rodrigues"
"Avai","Amarelo","Marquinhos Santos"
"Flamengo","Amarelo","Pablo Armero"
"Flamengo","Amarelo","Paulo Victor Mileo Vidotti"
"Flamengo","Amarelo","Wallace Reis da Silva"
"Avai","Amarelo","Glekson Marrone"
"Avai","Amarelo","Jeci"
"Avai","Amarelo","Hugo da Silva Cabral"
"Flamengo","Amarelo","Luiz Antônio de Souza Soares"
"Flamengo","Amarelo","Paulinho"
"Flamengo","Amarelo","Éverton Cardoso da Silva"
"Cruzeiro","Amarelo","Fabrício dos Santos Silva"
"Ponte Preta","Amarelo","Juninho"
"Cruzeiro","Amarelo","Paulo André"
"Ponte Preta","Amarelo","Pablo Castro"
"Sport","Amarelo","Rithely"
"Coritiba","Amarelo","Ivan Aparecido Martins"
"Coritiba","Amarelo","Norberto Pereira Marinho Neto"
"Coritiba","Amarelo","Rosinei"
"Coritiba","Amarelo","João Paulo Silva"
"Chapecoense","Vermelho","Apodi"
"Ponte Preta","Amarelo","Josimar"
"Ponte Preta","Amarelo","Biro-Biro"
"Chapecoense","Amarelo","Roger Rodrigues da Silva"
"Ponte Preta","Amarelo","Renato Cajá"
"Ponte Preta","Amarelo","Diego Oliveira"
"Chapecoense","Amarelo","Apodi"
"Coritiba","Amarelo","Rosinei"
"Coritiba","Amarelo","Paulinho Moccelin"
"Avai","Amarelo","Renan Martins Pereira"
"Avai","Amarelo","Romário Guilherme dos Santos"
"Coritiba","Amarelo","Leandro Almeida"
"Coritiba","Amarelo","Hélder"
"Avai","Amarelo","Emerson dos Santos da Silva"
"Avai","Amarelo","Vagner Antônio Brandalise"
"Athletico-PR","Amarelo","Natanael Batista Pimenta"
"Athletico-PR","Amarelo","Nikão"
"Athletico-PR","Amarelo","Ytalo José dos Santos"
"Athletico-PR","Amarelo","Hernani Azevedo Junior"
"Sport","Amarelo","Neto"
"Sport","Amarelo","Wendel Geraldo Maurício e Silva"
"Santos","Amarelo","David Braz"
"Vasco","Amarelo","Yago Moreira Silva"
"Vasco","Amarelo","Rafael Silva dos Santos"
"Vasco","Amarelo","Diguinho"
"Goias","Amarelo","Wesley"
"Gremio","Amarelo","Marcelo Grohe"
"Internacional","Amarelo","Anderson Luís de Abreu Oliveira"
"Sao Paulo","Amarelo","Reinaldo Manoel da Silva"
"Sao Paulo","Vermelho","Reinaldo Manoel da Silva"
"Internacional","Amarelo","Alisson Farias"
"Internacional","Amarelo","Lisandro López"
"Corinthians","Amarelo","Edílson Mendes Guimarães"
"Corinthians","Amarelo","Renato Augusto"
"Palmeiras","Amarelo","Kelvin Mateus de Oliveira"
"Palmeiras","Amarelo","Lucas Rios Marques"
"Palmeiras","Amarelo","Arouca"
"Corinthians","Amarelo","Danilo Gabriel de Andrade"
"Corinthians","Amarelo","Carlos Gilberto do Nascimento Silva"
"Corinthians","Amarelo","Ralf de Souza Teles"
"Palmeiras","Amarelo","Jorge Valdivia"
"Palmeiras","Amarelo","Egídio de Araújo Pereira Júnior"
"Flamengo","Vermelho","Héctor Canteros"
"Flamengo","Amarelo","Héctor Canteros"
"Flamengo","Amarelo","Víctor Cáceres"
"Flamengo","Amarelo","Marcos Rogério Ricci Lopes"
"Fluminense","Amarelo","Wagner Ferreira dos Santos"
"Fluminense","Vermelho","Giovanni"
"Flamengo","Amarelo","Eduardo da Silva"
"Flamengo","Amarelo","Bressan"
"Flamengo","Amarelo","Éverton Cardoso da Silva"
"Fluminense","Amarelo","Diego Cavalieri"
"Fluminense","Amarelo","Vinícius"
"Cruzeiro","Vermelho","Willians Domingos Fernandes"
"Figueirense","Amarelo","Marcos Assis de Santana"
"Figueirense","Amarelo","Marcos Roberto da Silva Barbosa"
"Cruzeiro","Amarelo","Mayke"
"Cruzeiro","Amarelo","Willian Gomes de Siqueira"
"Cruzeiro","Amarelo","Willians Domingos Fernandes"
"Figueirense","Amarelo","Carlos Alberto Gomes de Jesus"
"Cruzeiro","Amarelo","Henrique Pacheco Lima"
"Cruzeiro","Amarelo","Charles Fernando Basílio da Silva"
"Cruzeiro","Amarelo","Leandro Damião"
"Figueirense","Amarelo","Fabinho"
"Figueirense","Amarelo","Clayton da Silveira da Silva"
"Athletico-PR","Amarelo","Jadson"
"Figueirense","Amarelo","Leandro Silva"
"Figueirense","Amarelo","Carlos Alberto Gomes de Jesus"
"Vasco","Vermelho","Jordi"
"Vasco","Amarelo","Gilberto Oliveira Souza Junior"
"Ponte Preta","Amarelo","Borges"
"Ponte Preta","Amarelo","Felipe Azevedo"
"Vasco","Vermelho","Gilberto Oliveira Souza Junior"
"Vasco","Amarelo","Pablo Guiñazú"
"Ponte Preta","Amarelo","Pablo Castro"
"Chapecoense","Amarelo","Dener Assunção Braz"
"Joinville","Amarelo","Tiago Luís Martins"
"Joinville","Amarelo","Welinton Júnior"
"Joinville","Amarelo","Marcelo Costa"
"Chapecoense","Amarelo","Francinilson Santos Meirelles"
"Chapecoense","Amarelo","Wagner Ricardo Silva da Silva"
"Joinville","Amarelo","Anselmo de Moraes"
"Joinville","Amarelo","Héracles Paiva Aguiar"
"Sao Paulo","Amarelo","Rogério Ceni"
"Sao Paulo","Amarelo","Denílson Pereira Neves"
"Santos","Amarelo","Werley Ananias da Silva"
"Santos","Amarelo","Ricardo Oliveira"
"Santos","Vermelho","Marquinhos"
"Sao Paulo","Amarelo","Paulo Miranda"
"Sao Paulo","Amarelo","Renan Ribeiro"
"Sao Paulo","Amarelo","Michel Bastos"
"Santos","Amarelo","Lucas Otávio"
"Gremio","Amarelo","Walace"
"Corinthians","Amarelo","Vágner Love"
"Corinthians","Amarelo","Bruno Henrique Corsini"
"Gremio","Amarelo","Yuri Mamute"
"Corinthians","Amarelo","Carlos Gilberto do Nascimento Silva"
"Avai","Amarelo","Anderson Lopes"
"Avai","Amarelo","Renan Martins Pereira"
"Atletico-MG","Amarelo","Rafael de Souza Pereira"
"Avai","Amarelo","Antonio Carlos Capocasali"
"Atletico-MG","Amarelo","Maicosuel"
"Atletico-MG","Amarelo","Leonardo Silva"
"Cruzeiro","Amarelo","Bruno Rodrigo"
"Flamengo","Amarelo","Éverton Cardoso da Silva"
"Cruzeiro","Amarelo","Fábio Deivson Lopes Maciel"
"Flamengo","Amarelo","Luiz Antônio de Souza Soares"
"Flamengo","Amarelo","Alecsandro"
"Coritiba","Amarelo","Luccas Claro"
"Coritiba","Amarelo","Thiago Galhardo"
"Fluminense","Amarelo","Edson Felipe da Cruz"
"Coritiba","Amarelo","João Paulo Silva"
"Coritiba","Amarelo","Hélder"
"Sport","Amarelo","Joelinton Cassio Apolinário de Lira"
"Goias","Amarelo","Bruno Henrique"
"Goias","Amarelo","Felipe Menezes"
"Sport","Amarelo","Diego Souza"
"Goias","Amarelo","Péricles da Silva Nunes"
"Goias","Amarelo","Rafael Forster"
"Palmeiras","Amarelo","Lucas Rios Marques"
"Internacional","Amarelo","Artur"
"Internacional","Amarelo","Alex Raphael Meschini"
"Internacional","Amarelo","Alisson Becker"
"Internacional","Amarelo","Anderson Luís de Abreu Oliveira"
"Chapecoense","Vermelho","Vilson Xavier de Menezes Júnior"
"Flamengo","Amarelo","Marcelo Cirino da Silva"
"Santos","Amarelo","Daniel Guedes"
"Ponte Preta","Amarelo","Fernando Paixão da Silva"
"Santos","Amarelo","Lucas Rafael Araújo Lima"
"Ponte Preta","Amarelo","Gilson Gomes do Nascimento"
"Corinthians","Amarelo","Cássio Ramos"
"Joinville","Amarelo","Willian Popp"
"Athletico-PR","Amarelo","Walter Henrique da Silva"
"Athletico-PR","Amarelo","Weverton Pereira da Silva"
"Vasco","Amarelo","Emanuel Biancucchi"
"Vasco","Amarelo","Julio dos Santos"
"Athletico-PR","Amarelo","Nikão"
"Athletico-PR","Amarelo","Carlos Eduardo Santos Oliveira"
"Vasco","Amarelo","Lucas Santos Siqueira"
"Sao Paulo","Amarelo","Luís Fabiano"
"Gremio","Amarelo","Marcelo Oliveira Ferreira"
"Sao Paulo","Amarelo","Josef de Souza Dias"
"Sao Paulo","Amarelo","Denílson Pereira Neves"
"Gremio","Amarelo","Fellipe Bastos"
"Internacional","Amarelo","Rodrigo Dourado"
"Internacional","Amarelo","Anderson Luís de Abreu Oliveira"
"Coritiba","Amarelo","Henrique Gelain Custodio"
"Coritiba","Amarelo","Norberto Pereira Marinho Neto"
"Coritiba","Amarelo","Fabricio Santos de Jesus"
"Internacional","Vermelho","Lisandro López"
"Internacional","Amarelo","Lisandro López"
"Internacional","Amarelo","Victor Vinícius Coelho Santos"
"Coritiba","Amarelo","Ruy Franco de Almeida Junior"
"Coritiba","Amarelo","Thiago Galhardo"
"Goias","Amarelo","Alex Alves Cardoso"
"Avai","Amarelo","Jeci"
"Avai","Amarelo","Antonio Carlos Capocasali"
"Goias","Amarelo","Jarlan Pinheiro da Silva"
"Avai","Amarelo","Rômulo"
"Avai","Amarelo","Eduardo Neto"
"Fluminense","Amarelo","Wellington do Nascimento Silva"
"Sport","Amarelo","Matheus Ferraz Pereira"
"Fluminense","Amarelo","Marcos Júnior"
"Fluminense","Amarelo","Wagner Ferreira dos Santos"
"Sport","Amarelo","Renê Rodrigues Martins"
"Figueirense","Amarelo","Marcos Roberto da Silva Barbosa"
"Palmeiras","Amarelo","Ayrton Ganino"
"Palmeiras","Amarelo","Kelvin Mateus de Oliveira"
"Figueirense","Amarelo","Marcos Assis de Santana"
"Figueirense","Amarelo","Paulo Roberto da Silva"
"Palmeiras","Amarelo","Egídio de Araújo Pereira Júnior"
"Atletico-MG","Amarelo","Guilherme Milhomem Gusmão"
"Santos","Amarelo","Gustavo Henrique Vernes"
"Santos","Amarelo","Lucas Rafael Araújo Lima"
"Santos","Amarelo","Vladimir Orlando Cardoso de Araújo Filho"
"Santos","Amarelo","Werley Ananias da Silva"
"Internacional","Amarelo","Nicolás Freitas"
"Internacional","Amarelo","William de Asevedo Furtado"
"Chapecoense","Amarelo","Ananias Elói Castro Monteiro"
"Sao Paulo","Amarelo","Hudson"
"Sao Paulo","Amarelo","Luís Fabiano"
"Chapecoense","Amarelo","José Gildeixon Clemente de Paiva"
"Sao Paulo","Amarelo","Thiago Henrique Mendes Ribeiro"
"Sao Paulo","Amarelo","Bruno Vieira"
"Flamengo","Vermelho","Jonas Gomes de Sousa"
"Coritiba","Amarelo","Fabricio Santos de Jesus"
"Flamengo","Amarelo","Paulo Victor Mileo Vidotti"
"Flamengo","Amarelo","Jonas Gomes de Sousa"
"Coritiba","Amarelo","Thiago Galhardo"
"Flamengo","Amarelo","Marcelo Cirino da Silva"
"Flamengo","Amarelo","Márcio Rodrigues Araújo"
"Joinville","Amarelo","Mario Sérgio"
"Joinville","Amarelo","Guti"
"Joinville","Amarelo","Dankler"
"Joinville","Amarelo","Anselmo de Moraes"
"Cruzeiro","Amarelo","Willians Domingos Fernandes"
"Cruzeiro","Amarelo","Pará"
"Vasco","Amarelo","Luan Garcia Teixeira"
"Cruzeiro","Amarelo","Leandro Damião"
"Vasco","Amarelo","Rodrigo Baldasso da Costa"
"Cruzeiro","Amarelo","Joel Tagueu"
"Ponte Preta","Amarelo","Tiago dos Santos Alves"
"Goias","Amarelo","Patrick"
"Goias","Amarelo","Bruno Henrique"
"Ponte Preta","Amarelo","Biro-Biro"
"Ponte Preta","Amarelo","Pablo Castro"
"Goias","Amarelo","Clayton Sales"
"Fluminense","Vermelho","Magno Alves"
"Fluminense","Amarelo","Diego Cavalieri"
"Fluminense","Amarelo","Gum"
"Fluminense","Amarelo","Jean Raphael Vanderlei Moreira"
"Fluminense","Amarelo","Antônio Carlos dos Santos Aguiar"
"Fluminense","Vermelho","Gum"
"Fluminense","Amarelo","José Renato da Silva Júnior"
"Fluminense","Amarelo","Marcos Júnior"
"Fluminense","Amarelo","Lucas Pierre Santos Oliveira"
"Avai","Amarelo","André Lima"
"Avai","Amarelo","Nino Paraíba"
"Figueirense","Amarelo","Marcos Roberto da Silva Barbosa"
"Avai","Amarelo","Jeci"
"Avai","Amarelo","Renan Martins Pereira"
"Figueirense","Amarelo","Marcos Assis de Santana"
"Figueirense","Amarelo","Roberto Cereceda"
"Athletico-PR","Amarelo","Otávio Henrique Santos"
"Athletico-PR","Amarelo","Kadu"
"Gremio","Amarelo","Luan Guilherme de Jesus Vieira"
"Athletico-PR","Amarelo","Nikão"
"Athletico-PR","Amarelo","Ytalo José dos Santos"
"Figueirense","Amarelo","França"
"Figueirense","Amarelo","Bruno Alves"
"Internacional","Amarelo","Rodrigo Dourado"
"Figueirense","Amarelo","Clayton da Silveira da Silva"
"Figueirense","Amarelo","Leandro Silva"
"Internacional","Amarelo","Jorge Henrique"
"Sport","Amarelo","Samuel"
"Vasco","Amarelo","Luan Garcia Teixeira"
"Vasco","Amarelo","Pablo Guiñazú"
"Sport","Amarelo","Samuel Xavier"
"Vasco","Amarelo","Emanuel Biancucchi"
"Atletico-MG","Vermelho","Patric Cabral Lalau"
"Atletico-MG","Amarelo","Patric Cabral Lalau"
"Santos","Vermelho","Rafael Longuine"
"Santos","Amarelo","Neto Berola"
"Santos","Amarelo","Geuvânio"
"Santos","Amarelo","Daniel Guedes"
"Corinthians","Amarelo","Luciano da Rocha Neves"
"Corinthians","Amarelo","Fagner"
"Corinthians","Vermelho","Fagner"
"Santos","Amarelo","Vladimir Orlando Cardoso de Araújo Filho"
"Santos","Amarelo","Rafael Longuine"
"Corinthians","Amarelo","Uendel Pereira Gonçalves"
"Corinthians","Amarelo","Ralf de Souza Teles"
"Gremio","Amarelo","Maicon"
"Gremio","Amarelo","Rafael Galhardo"
"Palmeiras","Amarelo","Róbson Michael Signorini"
"Gremio","Amarelo","Walace"
"Gremio","Amarelo","Marcelo Oliveira Ferreira"
"Palmeiras","Amarelo","Alecsandro"
"Palmeiras","Amarelo","Gabriel Girotto Franco"
"Cruzeiro","Amarelo","Bruno Rodrigo"
"Cruzeiro","Amarelo","Henrique Pacheco Lima"
"Chapecoense","Amarelo","Marcos Danilo Padilha"
"Chapecoense","Amarelo","José Gildeixon Clemente de Paiva"
"Cruzeiro","Amarelo","Bruno Edgar"
"Cruzeiro","Amarelo","Pará"
"Chapecoense","Amarelo","Hélio Hermito Zampier Neto"
"Joinville","Vermelho","Diego Jara Rodrigues"
"Joinville","Amarelo","Mario Sérgio"
"Joinville","Amarelo","Augusto"
"Goias","Amarelo","Patrick"
"Goias","Amarelo","Clayton Sales"
"Goias","Vermelho","Diogo Barbosa"
"Joinville","Amarelo","Marinaldo dos Santos Oliveira"
"Joinville","Amarelo","Anselmo de Moraes"
"Goias","Amarelo","Felipe Macedo"
"Goias","Amarelo","Diogo Barbosa"
"Goias","Amarelo","Felipe Menezes"
"Avai","Amarelo","Eltinho"
"Avai","Amarelo","Eduardo Neto"
"Avai","Amarelo","Marquinhos Santos"
"Sao Paulo","Amarelo","Alexandre Pato"
"Avai","Amarelo","Adriano Pagode"
"Avai","Amarelo","Romário Guilherme dos Santos"
"Coritiba","Vermelho","Norberto Pereira Marinho Neto"
"Athletico-PR","Amarelo","Kadu"
"Coritiba","Amarelo","Wellington Paulista"
"Coritiba","Amarelo","Leandro Silva"
"Coritiba","Amarelo","Ruy Franco de Almeida Junior"
"Coritiba","Vermelho","Wellington Paulista"
"Athletico-PR","Amarelo","Weverton Pereira da Silva"
"Coritiba","Amarelo","João Paulo Silva"
"Coritiba","Amarelo","Norberto Pereira Marinho Neto"
"Fluminense","Amarelo","Gerson Santos da Silva"
"Ponte Preta","Amarelo","Josimar"
"Fluminense","Amarelo","Marcos Júnior"
"Ponte Preta","Amarelo","Fernando Paixão da Silva"
"Ponte Preta","Amarelo","Renato de Araújo Chaves Júnior"
"Avai","Amarelo","Rômulo"
"Avai","Amarelo","Anderson Lopes"
"Gremio","Amarelo","Yuri Mamute"
"Avai","Amarelo","Eltinho"
"Gremio","Amarelo","Tiago Machowski"
"Gremio","Amarelo","Lucas Ramon Batista Silva"
"Chapecoense","Amarelo","Elicarlos"
"Sport","Amarelo","Wendel Geraldo Maurício e Silva"
"Sport","Amarelo","Mike dos Santos Nenatarvicius"
"Sport","Amarelo","Jonathan Marlone"
"Sport","Amarelo","Diego Souza"
"Sport","Amarelo","Rithely"
"Sport","Amarelo","Samuel Xavier"
"Figueirense","Amarelo","Roberto Cereceda"
"Figueirense","Amarelo","Marcos Roberto da Silva Barbosa"
"Atletico-MG","Amarelo","Thiago Ribeiro"
"Atletico-MG","Amarelo","Guilherme Milhomem Gusmão"
"Joinville","Amarelo","Marinaldo dos Santos Oliveira"
"Palmeiras","Amarelo","Lucas Rios Marques"
"Sao Paulo","Amarelo","Hudson"
"Sao Paulo","Amarelo","Rafael Tolói"
"Sao Paulo","Amarelo","Bruno Vieira"
"Fluminense","Vermelho","Gum"
"Goias","Amarelo","Clayton Sales"
"Fluminense","Amarelo","Henrique Souza"
"Goias","Amarelo","Erik Nascimento de Lima"
"Fluminense","Amarelo","Wagner Ferreira dos Santos"
"Ponte Preta","Amarelo","Tiago dos Santos Alves"
"Athletico-PR","Amarelo","Hernani Azevedo Junior"
"Athletico-PR","Amarelo","Marcos Guilherme"
"Coritiba","Amarelo","Lúcio Flávio"
"Coritiba","Amarelo","Rodrigo Ramos"
"Cruzeiro","Amarelo","Marcos Vinícius de Jesus Araújo"
"Cruzeiro","Amarelo","Paulo André"
"Cruzeiro","Amarelo","Henrique Pacheco Lima"
"Coritiba","Amarelo","Esquerdinha"
"Coritiba","Amarelo","Luccas Claro"
"Coritiba","Amarelo","Leandro Silva"
"Cruzeiro","Amarelo","Willians Domingos Fernandes"
"Cruzeiro","Amarelo","Allano"
"Vasco","Amarelo","Charles Marcelo da Silva"
"Vasco","Amarelo","Sérgio Antônio Borges Júnior"
"Vasco","Amarelo","Madson"
"Vasco","Amarelo","Jhon Cley"
"Internacional","Amarelo","Lisandro López"
"Santos","Amarelo","Neto Berola"
"Santos","Amarelo","David Braz"
"Santos","Vermelho","David Braz"
"Internacional","Amarelo","William de Asevedo Furtado"
"Internacional","Amarelo","Jorge Henrique"
"Santos","Amarelo","Lucas Otávio"
"Internacional","Vermelho","Leonardo Moreira Morais"
"Sport","Amarelo","Régis"
"Internacional","Amarelo","Alan Henrique Costa"
"Sport","Amarelo","André Felipe Ribeiro de Souza"
"Internacional","Amarelo","Geferson Cerqueira Teles"
"Avai","Vermelho","Antonio Carlos Capocasali"
"Vasco","Amarelo","Lucas Santos Siqueira"
"Avai","Amarelo","Emerson dos Santos da Silva"
"Vasco","Vermelho","Rafael Silva dos Santos"
"Vasco","Amarelo","Rodrigo Baldasso da Costa"
"Vasco","Amarelo","Christianno"
"Avai","Amarelo","André Lima"
"Chapecoense","Amarelo","Neném"
"Chapecoense","Amarelo","Wagner Ricardo Silva da Silva"
"Chapecoense","Amarelo","William Barbio"
"Atletico-MG","Amarelo","Carlos Júnior"
"Coritiba","Amarelo","Luccas Claro"
"Coritiba","Amarelo","Welinton"
"Coritiba","Amarelo","Lúcio Flávio"
"Atletico-MG","Amarelo","Douglas Santos"
"Atletico-MG","Amarelo","Leonardo Silva"
"Coritiba","Amarelo","Alan Santos da Silva"
"Coritiba","Amarelo","Thiago Galhardo"
"Cruzeiro","Amarelo","Bruno Rodrigo"
"Cruzeiro","Amarelo","Leandro Damião"
"Gremio","Amarelo","Rafael Galhardo"
"Gremio","Amarelo","Walace"
"Gremio","Amarelo","Luan Guilherme de Jesus Vieira"
"Cruzeiro","Amarelo","Marcos Vinícius de Jesus Araújo"
"Cruzeiro","Amarelo","Willian Gomes de Siqueira"
"Cruzeiro","Amarelo","Willians Domingos Fernandes"
"Gremio","Amarelo","Pedro Geromel"
"Gremio","Amarelo","Maicon"
"Cruzeiro","Amarelo","Mayke"
"Joinville","Amarelo","Guti"
"Flamengo","Amarelo","Héctor Canteros"
"Joinville","Amarelo","Douglas da Silva"
"Joinville","Amarelo","Anselmo de Moraes"
"Flamengo","Amarelo","Jonas Gomes de Sousa"
"Athletico-PR","Amarelo","Ytalo José dos Santos"
"Athletico-PR","Amarelo","Nikão"
"Figueirense","Amarelo","Rafael Bastos"
"Goias","Amarelo","Bruno Henrique"
"Figueirense","Vermelho","Clayton da Silveira da Silva"
"Figueirense","Amarelo","Clayton da Silveira da Silva"
"Goias","Amarelo","Rafael Forster"
"Ponte Preta","Amarelo","Renato Cajá"
"Corinthians","Amarelo","Jadson"
"Ponte Preta","Amarelo","Fernando Paixão da Silva"
"Fluminense","Amarelo","Gerson Santos da Silva"
"Santos","Amarelo","Daniel Guedes"
"Santos","Amarelo","Werley Ananias da Silva"
"Fluminense","Amarelo","Wagner Ferreira dos Santos"
"Santos","Amarelo","Thiago Maia"
"Joinville","Amarelo","Guti"
"Coritiba","Amarelo","Hélder"
"Joinville","Amarelo","Diego Jara Rodrigues"
"Athletico-PR","Vermelho","Walter Henrique da Silva"
"Athletico-PR","Amarelo","Natanael Batista Pimenta"
"Athletico-PR","Amarelo","Giovanni Piccolomo"
"Vasco","Vermelho","Jhon Cley"
"Chapecoense","Amarelo","Bruno Rangel"
"Vasco","Amarelo","Pablo Guiñazú"
"Vasco","Vermelho","Christianno"
"Vasco","Amarelo","Jhon Cley"
"Avai","Amarelo","Jubal Rocha Mendes Júnior"
"Avai","Amarelo","Jeci"
"Avai","Amarelo","Eduardo Neto"
"Sport","Amarelo","Diego Souza"
"Avai","Vermelho","Eduardo Neto"
"Avai","Amarelo","William Júnior Salles de Lima Souza"
"Avai","Amarelo","Vagner Antônio Brandalise"
"Avai","Amarelo","Anderson Lopes"
"Sport","Amarelo","Régis"
"Goias","Amarelo","Alex Alves Cardoso"
"Corinthians","Amarelo","Bruno Henrique Corsini"
"Goias","Amarelo","Fred"
"Corinthians","Amarelo","Fagner"
"Santos","Vermelho","Geuvânio"
"Santos","Amarelo","David Braz"
"Santos","Amarelo","Geuvânio"
"Gremio","Amarelo","Walace"
"Santos","Amarelo","Caju"
"Santos","Amarelo","Gabriel Barbosa"
"Fluminense","Amarelo","Gustavo Scarpa"
"Sao Paulo","Amarelo","Édson José da Silva"
"Fluminense","Amarelo","Edson Felipe da Cruz"
"Ponte Preta","Amarelo","Vitor Xavier"
"Palmeiras","Amarelo","Eduardo Pereira Rodrigues"
"Palmeiras","Amarelo","Lucas Rios Marques"
"Ponte Preta","Amarelo","Pablo Castro"
"Ponte Preta","Amarelo","Cesinha"
"Palmeiras","Amarelo","Victor Ramos"
"Flamengo","Amarelo","Emerson Sheik"
"Figueirense","Amarelo","Dudu"
"Flamengo","Amarelo","Marcelo Cirino da Silva"
"Flamengo","Amarelo","Alan Patrick"
"Figueirense","Amarelo","Roberto Cereceda"
"Internacional","Amarelo","Andrés D'Alessandro"
"Atletico-MG","Amarelo","Leandro Donizete"
"Internacional","Vermelho","Anderson Luís de Abreu Oliveira"
"Atletico-MG","Amarelo","Edcarlos"
"Atletico-MG","Amarelo","Carlos César Neves"
"Santos","Amarelo","Daniel Guedes"
"Santos","Amarelo","Werley Ananias da Silva"
"Santos","Amarelo","Thiago Maia"
"Chapecoense","Amarelo","Wanderson"
"Gremio","Amarelo","Pedro Rocha Neves"
"Gremio","Amarelo","Braian Rodríguez"
"Coritiba","Amarelo","Norberto Pereira Marinho Neto"
"Coritiba","Amarelo","Alan Santos da Silva"
"Ponte Preta","Amarelo","Pablo Castro"
"Ponte Preta","Amarelo","Cesinha"
"Ponte Preta","Amarelo","Diego Oliveira"
"Coritiba","Amarelo","Henrique Gelain Custodio"
"Coritiba","Amarelo","Thiago Galhardo"
"Ponte Preta","Amarelo","Biro-Biro"
"Ponte Preta","Amarelo","Renato Cajá"
"Ponte Preta","Amarelo","Renato de Araújo Chaves Júnior"
"Palmeiras","Amarelo","Egídio de Araújo Pereira Júnior"
"Avai","Amarelo","André Lima"
"Avai","Amarelo","Nino Paraíba"
"Avai","Amarelo","Claudinei Junio de Souza"
"Palmeiras","Amarelo","Victor Ramos"
"Avai","Amarelo","Renan Martins Pereira"
"Avai","Amarelo","Roberto César Zardin Rodrigues"
"Avai","Amarelo","Emerson dos Santos da Silva"
"Figueirense","Amarelo","Marcos Roberto da Silva Barbosa"
"Joinville","Amarelo","Fabrício de Souza"
"Joinville","Amarelo","Marinaldo dos Santos Oliveira"
"Atletico-MG","Amarelo","Jemerson de Jesus Nascimento"
"Sport","Amarelo","Rithely"
"Atletico-MG","Amarelo","Carlos César Neves"
"Sport","Amarelo","Neto"
"Internacional","Amarelo","Nicolás Freitas"
"Flamengo","Amarelo","Marcelo Augusto Mathias da Silva"
"Internacional","Amarelo","Rafael Moura"
"Internacional","Amarelo","Geferson Cerqueira Teles"
"Flamengo","Amarelo","Jorge Marco de Oliveira Moraes"
"Vasco","Amarelo","Rodrigo Baldasso da Costa"
"Vasco","Amarelo","Anderson Salles"
"Vasco","Amarelo","Madson"
"Athletico-PR","Amarelo","Hernani Azevedo Junior"
"Corinthians","Amarelo","Felipe Augusto de Almeida Monteiro"
"Athletico-PR","Amarelo","Nikão"
"Fluminense","Amarelo","Victor Oliveira"
"Cruzeiro","Amarelo","Willians Domingos Fernandes"
"Fluminense","Amarelo","Fred"
"Cruzeiro","Amarelo","Paulo André"
"Santos","Amarelo","Paulo Ricardo Ferreira"
"Figueirense","Amarelo","Fabinho"
"Figueirense","Amarelo","Roberto Cereceda"
"Figueirense","Amarelo","Leandro Silva"
"Figueirense","Amarelo","Rafael Bastos"
"Figueirense","Amarelo","Yago Rocha"
"Gremio","Amarelo","Walace"
"Vasco","Amarelo","Andrezinho"
"Vasco","Amarelo","Sérgio Antônio Borges Júnior"
"Vasco","Amarelo","Pablo Guiñazú"
"Ponte Preta","Amarelo","Biro-Biro"
"Atletico-MG","Amarelo","Giovanni Augusto"
"Atletico-MG","Amarelo","Leandro Donizete"
"Atletico-MG","Amarelo","Carlos César Neves"
"Sao Paulo","Amarelo","Luís Fabiano"
"Coritiba","Amarelo","Henrique Gelain Custodio"
"Coritiba","Amarelo","Luccas Claro"
"Coritiba","Amarelo","Leandro Silva"
"Corinthians","Amarelo","Jadson"
"Corinthians","Amarelo","Renato Augusto"
"Joinville","Amarelo","Dankler"
"Joinville","Amarelo","Fabrício de Souza"
"Internacional","Amarelo","Eduardo Sasha"
"Internacional","Amarelo","Wellington Aparecido Martins"
"Joinville","Amarelo","Marion Silva Fernandes"
"Joinville","Amarelo","Everton Kempes dos Santos Gonçalves"
"Internacional","Amarelo","Muriel Becker"
"Fluminense","Amarelo","Marcos Júnior"
"Athletico-PR","Amarelo","Natanael Batista Pimenta"
"Fluminense","Amarelo","Edson Felipe da Cruz"
"Cruzeiro","Amarelo","Mário Sérgio Santos Costa"
"Goias","Amarelo","Diogo Barbosa"
"Cruzeiro","Amarelo","Leonardo Renan Simões de Lacerda"
"Sport","Amarelo","Jonathan Marlone"
"Sport","Amarelo","Renê Rodrigues Martins"
"Palmeiras","Amarelo","Jackson de Souza"
"Avai","Amarelo","Tauã"
"Avai","Amarelo","Roberto César Zardin Rodrigues"
"Chapecoense","Amarelo","Bruno César Pereira da Silva"
"Avai","Amarelo","Romário Guilherme dos Santos"
"Avai","Amarelo","Éverton Silva"
"Chapecoense","Amarelo","Dener Assunção Braz"
"Internacional","Amarelo","José Mário de Bona"
"Goias","Amarelo","Guilherme Gimenez de Souza"
"Flamengo","Amarelo","Emerson Sheik"
"Gremio","Amarelo","Maicon"
"Gremio","Amarelo","Marcelo Hermes"
"Gremio","Amarelo","Marcelo Grohe"
"Gremio","Amarelo","Pedro Geromel"
"Gremio","Amarelo","Pedro Rocha Neves"
"Corinthians","Amarelo","Carlos Gilberto do Nascimento Silva"
